service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1844,0,0,0,0,0,0,1,20250817,20250817
1833,0,0,0,0,0,0,1,20250815,20250815
1811,1,1,1,1,0,0,0,20250623,20250831
1832,1,1,1,1,0,0,0,20250811,20250814
1810,0,0,0,0,1,0,0,20250502,20250622
1831,0,0,0,0,0,0,1,20250502,20250622
1808,0,0,0,0,0,1,0,20250502,20250622
1807,1,1,1,1,0,0,0,20250502,20250622
1828,0,0,0,0,0,0,1,20250725,20250731
1827,1,1,1,1,0,0,0,20250724,20250730
1837,0,0,0,0,0,0,1,20250810,20250810
1836,0,0,0,0,0,1,0,20250816,20250816
1814,0,0,0,0,1,0,0,20250623,20250831
1835,0,0,0,0,0,1,0,20250809,20250809
1813,0,0,0,0,0,0,1,20250623,20250831
1812,0,0,0,0,0,1,0,20250623,20250831
