service_id,date,exception_type
1831,20250601,1
1807,20250602,1
1807,20250603,1
1807,20250604,1
1807,20250605,1
1810,20250606,1
1808,20250607,1
1831,20250608,1
1807,20250609,1
1807,20250610,1
1807,20250611,1
1807,20250612,1
1810,20250613,1
1808,20250614,1
1831,20250615,1
1807,20250616,1
1807,20250617,1
1807,20250618,1
1807,20250619,1
1810,20250620,1
1808,20250621,1
1831,20250622,1
1811,20250623,1
1811,20250624,1
1811,20250625,1
1811,20250626,1
1814,20250627,1
1812,20250628,1
1813,20250629,1
1811,20250630,1
1811,20250701,1
1811,20250702,1
1811,20250703,1
1814,20250704,1
1812,20250705,1
1813,20250706,1
1811,20250707,1
1811,20250708,1
1811,20250709,1
1811,20250710,1
1814,20250711,1
1812,20250712,1
1813,20250713,1
1811,20250714,1
1811,20250715,1
1811,20250716,1
1811,20250717,1
1814,20250718,1
1812,20250719,1
1813,20250720,1
1811,20250721,1
1811,20250722,1
1811,20250723,1
1827,20250724,1
1828,20250725,1
1812,20250726,1
1813,20250727,1
1811,20250728,1
1811,20250729,1
1827,20250730,1
1828,20250731,1
1814,20250801,1
1812,20250802,1
1813,20250803,1
1811,20250804,1
1811,20250805,1
1811,20250806,1
1811,20250807,1
1814,20250808,1
1835,20250809,1
1837,20250810,1
1832,20250811,1
1832,20250812,1
1832,20250813,1
1832,20250814,1
1833,20250815,1
1836,20250816,1
1844,20250817,1
1811,20250818,1
1811,20250819,1
1811,20250820,1
1811,20250821,1
1814,20250822,1
1812,20250823,1
1813,20250824,1
1811,20250825,1
1811,20250826,1
1811,20250827,1
1811,20250828,1
1814,20250829,1
