trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
59_5902_1_26400,07:20:00,07:20:05,1403,1,Unibertsitatea,0,0,0
59_5902_1_26400,07:26:19,07:26:24,1408,2,Otaola,0,0,0
59_5902_1_26400,07:27:53,07:27:58,997,3,Polikiroldegia-eibar,0,0,0
59_5902_1_26400,07:29:07,07:29:12,1410,4,Ipurua,0,0,0
59_5902_1_26400,07:30:03,07:30:08,1411,5,Sostoatarren,0,0,0
59_5902_1_26400,07:30:24,07:30:29,1412,6,Ubitxa,0,0,0
59_5902_1_26400,07:30:59,07:31:04,1416,7,Paziano Arosa,0,0,0
59_5902_1_26400,07:40:43,07:40:48,6018,8,Ubitxa 2,0,0,0
59_5902_1_26400,07:42:39,07:42:44,6131,9,Untzaga,0,0,0
59_5902_1_26400,07:43:35,07:43:40,850,10,Bidebarrie,0,0,0
59_5902_1_26400,07:45:24,07:45:29,1739,11,Urtzaile,0,0,0
59_5902_1_26400,07:46:07,07:46:12,6019,12,Agiñazpi,0,0,0
59_5902_1_26400,07:47:06,07:47:11,1419,13,Barrena,0,0,0
59_5902_1_26400,07:48:25,07:48:30,1400,14,Azitain,0,0,0
59_5902_1_26400,07:49:15,07:49:20,1000,15,Iparraguirre,0,0,0
59_5902_1_26400,07:55:15,07:55:20,1658,16,Saratsuegi,0,0,0
59_5902_1_26400,07:56:25,07:56:30,6015,17,Debegesa,0,0,0
59_5902_1_26400,07:59:59,08:00:04,1714,18,Tekniker,0,0,0
59_5902_1_26400,08:01:54,08:01:59,2667,19,,0,0,0
59_5906_2_45600,12:40:00,12:40:05,1403,1,Unibertsitatea,0,0,0
59_5906_2_45600,12:46:19,12:46:24,1408,2,Otaola,0,0,0
59_5906_2_45600,12:47:53,12:47:58,997,3,Polikiroldegia-eibar,0,0,0
59_5906_2_45600,12:49:07,12:49:12,1410,4,Ipurua,0,0,0
59_5906_2_45600,12:50:03,12:50:08,1411,5,Sostoatarren,0,0,0
59_5906_2_45600,12:50:24,12:50:29,1412,6,Ubitxa,0,0,0
59_5906_2_45600,12:50:59,12:51:04,1416,7,Paziano Arosa,0,0,0
59_5906_2_45600,13:00:43,13:00:48,6018,8,Ubitxa 2,0,0,0
59_5906_2_45600,13:02:39,13:02:44,6131,9,Untzaga,0,0,0
59_5906_2_45600,13:03:35,13:03:40,850,10,Bidebarrie,0,0,0
59_5906_2_45600,13:05:24,13:05:29,1739,11,Urtzaile,0,0,0
59_5906_2_45600,13:06:07,13:06:12,6019,12,Agiñazpi,0,0,0
59_5906_2_45600,13:07:06,13:07:11,1419,13,Barrena,0,0,0
59_5906_2_45600,13:08:25,13:08:30,1400,14,Azitain,0,0,0
59_5906_2_45600,13:09:15,13:09:20,1000,15,,0,0,0
59_5902_1_61200,17:00:00,17:00:05,1403,1,Unibertsitatea,0,0,0
59_5902_1_61200,17:06:19,17:06:24,1408,2,Otaola,0,0,0
59_5902_1_61200,17:07:53,17:07:58,997,3,Polikiroldegia-eibar,0,0,0
59_5902_1_61200,17:09:07,17:09:12,1410,4,Ipurua,0,0,0
59_5902_1_61200,17:10:03,17:10:08,1411,5,Sostoatarren,0,0,0
59_5902_1_61200,17:10:24,17:10:29,1412,6,Ubitxa,0,0,0
59_5902_1_61200,17:10:59,17:11:04,1416,7,Paziano Arosa,0,0,0
59_5902_1_61200,17:20:43,17:20:48,6018,8,Ubitxa 2,0,0,0
59_5902_1_61200,17:22:39,17:22:44,6131,9,Untzaga,0,0,0
59_5902_1_61200,17:23:35,17:23:40,850,10,Bidebarrie,0,0,0
59_5902_1_61200,17:25:24,17:25:29,1739,11,Urtzaile,0,0,0
59_5902_1_61200,17:26:07,17:26:12,6019,12,Agiñazpi,0,0,0
59_5902_1_61200,17:27:06,17:27:11,1419,13,Barrena,0,0,0
59_5902_1_61200,17:28:25,17:28:30,1400,14,Azitain,0,0,0
59_5902_1_61200,17:29:15,17:29:20,1000,15,Iparraguirre,0,0,0
59_5902_1_61200,17:35:15,17:35:20,1658,16,Saratsuegi,0,0,0
59_5902_1_61200,17:36:25,17:36:30,6015,17,Debegesa,0,0,0
59_5902_1_61200,17:39:59,17:40:04,1714,18,Tekniker,0,0,0
59_5902_1_61200,17:41:54,17:41:59,2667,19,,0,0,0
59_5905_4_46800,13:00:00,13:00:05,993,1,Barrena,0,0,0
59_5905_4_46800,13:00:38,13:00:43,1421,2,Urkizu,0,0,0
59_5905_4_46800,13:02:03,13:02:08,851,3,Errebal,0,0,0
59_5905_4_46800,13:03:53,13:03:58,4441,4,Correos-julian Etxebarria,0,0,0
59_5905_4_46800,13:04:44,13:04:49,1401,5,"San Juan Kalea, 07",0,0,0
59_5905_4_46800,13:05:32,13:05:37,1124,6,Torrekua,0,0,0
59_5905_4_46800,13:07:23,13:07:28,6078,7,Wenceslao Orbea,0,0,0
59_5905_4_46800,13:13:27,13:13:32,6021,8,Ziriako Agirre 2,0,0,0
59_5905_4_46800,13:14:49,13:14:54,6130,9,Asola Igartza,0,0,0
59_5905_4_46800,13:15:46,13:15:51,1405,10,"Tiburcio Anitua, 21",0,0,0
59_5905_4_46800,13:16:44,13:16:49,1402,11,"Tiburcio Anitua,25",0,0,0
59_5905_4_46800,13:17:09,13:17:14,1403,12,,0,0,0
59_5905_4_39600,11:00:00,11:00:05,993,1,Barrena,0,0,0
59_5905_4_39600,11:00:38,11:00:43,1421,2,Urkizu,0,0,0
59_5905_4_39600,11:02:03,11:02:08,851,3,Errebal,0,0,0
59_5905_4_39600,11:03:53,11:03:58,4441,4,Correos-julian Etxebarria,0,0,0
59_5905_4_39600,11:04:44,11:04:49,1401,5,"San Juan Kalea, 07",0,0,0
59_5905_4_39600,11:05:32,11:05:37,1124,6,Torrekua,0,0,0
59_5905_4_39600,11:07:23,11:07:28,6078,7,Wenceslao Orbea,0,0,0
59_5905_4_39600,11:13:27,11:13:32,6021,8,Ziriako Agirre 2,0,0,0
59_5905_4_39600,11:14:49,11:14:54,6130,9,Asola Igartza,0,0,0
59_5905_4_39600,11:15:46,11:15:51,1405,10,"Tiburcio Anitua, 21",0,0,0
59_5905_4_39600,11:16:44,11:16:49,1402,11,"Tiburcio Anitua,25",0,0,0
59_5905_4_39600,11:17:09,11:17:14,1403,12,,0,0,0
60_6001_3_64800,18:00:00,18:00:05,851,1,Errebal,0,0,0
60_6001_3_64800,18:01:50,18:01:55,4441,2,"San Juan Kalea, 07",0,0,0
60_6001_3_64800,18:03:24,18:03:29,1124,3,Izua,0,0,0
60_6001_3_64800,18:13:32,18:13:37,6016,4,Usartza,0,0,0
60_6001_3_64800,18:14:28,18:14:33,6020,5,Altza Baserria,0,0,0
60_6001_3_64800,18:15:46,18:15:51,4740,6,Kalbelin Hotela,0,0,0
60_6001_3_64800,18:17:00,18:17:05,1423,7,Arraqte Sandutegia,0,0,0
60_6001_3_64800,18:18:10,18:18:15,1422,8,,0,0,0
60_6001_3_39600,11:00:00,11:00:05,851,1,Errebal,0,0,0
60_6001_3_39600,11:01:50,11:01:55,4441,2,"San Juan Kalea, 07",0,0,0
60_6001_3_39600,11:03:24,11:03:29,1124,3,Izua,0,0,0
60_6001_3_39600,11:13:32,11:13:37,6016,4,Usartza,0,0,0
60_6001_3_39600,11:14:28,11:14:33,6020,5,Altza Baserria,0,0,0
60_6001_3_39600,11:15:46,11:15:51,4740,6,Kalbelin Hotela,0,0,0
60_6001_3_39600,11:17:00,11:17:05,1423,7,Arraqte Sandutegia,0,0,0
60_6001_3_39600,11:18:10,11:18:15,1422,8,,0,0,0
59_5905_2_34800,09:40:00,09:40:05,993,1,Barrena,0,0,0
59_5905_2_34800,09:40:38,09:40:43,1421,2,Urkizu,0,0,0
59_5905_2_34800,09:42:03,09:42:08,851,3,Errebal,0,0,0
59_5905_2_34800,09:43:53,09:43:58,4441,4,Correos-julian Etxebarria,0,0,0
59_5905_2_34800,09:44:44,09:44:49,1401,5,"San Juan Kalea, 07",0,0,0
59_5905_2_34800,09:45:32,09:45:37,1124,6,Torrekua,0,0,0
59_5905_2_34800,09:47:23,09:47:28,6078,7,Wenceslao Orbea,0,0,0
59_5905_2_34800,09:53:27,09:53:32,6021,8,Ziriako Agirre 2,0,0,0
59_5905_2_34800,09:54:49,09:54:54,6130,9,Asola Igartza,0,0,0
59_5905_2_34800,09:55:46,09:55:51,1405,10,"Tiburcio Anitua, 21",0,0,0
