route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
59,4,59_5905_4_27000,,,0,,shp_59_5905,0,0
59,5,59_5906_5_64500,,,1,,shp_59_5906,0,0
59,1,59_5902_1_39900,,,1,,shp_59_5902,0,0
59,4,59_5905_4_34200,,,0,,shp_59_5905,0,0
59,4,59_5906_4_68100,,,1,,shp_59_5906,0,0
59,1,59_5902_1_43800,,,1,,shp_59_5902,0,0
60,3,60_6001_3_36000,,,0,,shp_60_6001,0,0
60,6,60_6002_6_41400,,,1,,shp_60_6002,0,0
59,6,59_5905_6_30600,,,0,,shp_59_5905,0,0
59,5,59_5905_5_41400,,,0,,shp_59_5905,0,0
59,4,59_5906_4_45600,,,1,,shp_59_5906,0,0
60,6,60_6001_6_64800,,,0,,shp_60_6001,0,0
59,5,59_5905_5_30600,,,0,,shp_59_5905,0,0
59,1,59_5902_1_34200,,,1,,shp_59_5902,0,0
59,1,59_5901_1_49800,,,0,,shp_59_5901,0,0
60,3,60_6002_3_37800,,,1,,shp_60_6002,0,0
60,4,60_6002_4_52200,,,1,,shp_60_6002,0,0
59,4,59_5905_4_45000,,,0,,shp_59_5905,0,0
59,5,59_5905_5_27000,,,0,,shp_59_5905,0,0
60,3,60_6002_3_48600,,,1,,shp_60_6002,0,0
59,6,59_5906_6_46200,,,1,,shp_59_5906,0,0
59,4,59_5905_4_30000,,,0,,shp_59_5905,0,0
59,4,59_5906_4_43200,,,1,,shp_59_5906,0,0
59,6,59_5906_6_39000,,,1,,shp_59_5906,0,0
59,1,59_5901_1_42000,,,0,,shp_59_5901,0,0
60,6,60_6002_6_52200,,,1,,shp_60_6002,0,0
59,1,59_5901_1_38100,,,0,,shp_59_5901,0,0
59,5,59_5905_5_35400,,,0,,shp_59_5905,0,0
59,2,59_5906_2_40800,,,1,,shp_59_5906,0,0
59,4,59_5906_4_28800,,,1,,shp_59_5906,0,0
60,2,60_6001_2_50400,,,0,,shp_60_6001,0,0
60,6,60_6002_6_37800,,,1,,shp_60_6002,0,0
60,6,60_6001_6_46800,,,0,,shp_60_6001,0,0
59,4,59_5906_4_46500,,,1,,shp_59_5906,0,0
59,1,59_5901_1_30300,,,0,,shp_59_5901,0,0
59,5,59_5905_5_37800,,,0,,shp_59_5905,0,0
59,1,59_5901_1_63300,,,0,,shp_59_5901,0,0
59,6,59_5905_6_47400,,,0,,shp_59_5905,0,0
59,4,59_5905_4_32400,,,0,,shp_59_5905,0,0
60,6,60_6002_6_34200,,,1,,shp_60_6002,0,0
59,5,59_5905_5_34200,,,0,,shp_59_5905,0,0
59,5,59_5906_5_35700,,,1,,shp_59_5906,0,0
59,1,59_5903_1_26820,,,0,,shp_59_5903,0,0
59,4,59_5906_4_64500,,,1,,shp_59_5906,0,0
59,2,59_5905_2_46800,,,0,,shp_59_5905,0,0
59,5,59_5906_5_31800,,,1,,shp_59_5906,0,0
59,4,59_5905_4_63000,,,0,,shp_59_5905,0,0
60,3,60_6001_3_46800,,,0,,shp_60_6001,0,0
59,2,59_5905_2_42000,,,0,,shp_59_5905,0,0
59,1,59_5902_1_61200,,,1,,shp_59_5902,0,0
59,5,59_5905_5_33000,,,0,,shp_59_5905,0,0
