service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,0,0,0,20080101,20251231
2,0,0,0,0,0,1,0,20080101,20251231
21,0,1,1,1,0,0,0,20250801,20250831
22,1,1,1,1,0,0,0,20250701,20250731
26,0,0,0,0,1,0,0,20150301,20251231
29,0,0,0,0,1,0,0,20250701,20250731
3,0,0,0,0,0,0,1,20080101,20251231
30,0,0,0,0,1,0,0,20250801,20250831
31,0,0,0,0,0,1,0,20250801,20250831
32,0,0,0,0,0,0,1,20250801,20250831
38,1,0,0,0,0,0,0,20250801,20250831
39,0,0,0,0,0,1,0,20250701,20250731
40,0,0,0,0,0,0,1,20250701,20250731
