route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
23,LJ,23_2301_LJ_54000,,Ordizia,0,,shp_23_2301,0,0
6,S,6_607_S_69600,,Ezkio,0,,shp_6_607,0,0
5,LJ,5_502_LJ_79200,,Lazkao,1,,shp_5_502,0,0
21,V,21_2104_V_26100,,Altzaga,1,,shp_21_2104,0,0
6,S,6_602_S_63900,,Ormaiztegi,1,,shp_6_602,0,0
23,D,23_2301_D_31500,,Ordizia,0,,shp_23_2301,0,0
22,V,22_2201_V_32700,,Segura,0,,shp_22_2201,0,0
6,S,6_605_S_67800,,Ezkio,0,,shp_6_605,0,0
6,LJ,6_606_LJ_41100,,Ormaiztegi,1,,shp_6_606,0,0
1,V,1_105_V_74700,,Ordizia(altamira),0,,shp_1_105,0,0
1,LJ,1_101_LJ_31500,,Zaldibia,0,,shp_1_101,0,0
6,V,6_610_V_29700,,Ormaiztegi,1,,shp_6_610,0,0
21,LJ,21_2103_LJ_54600,,Ordizia,0,,shp_21_2103,0,0
4,V,4_428_V_53700,,Ordizia,1,,shp_4_428,0,0
1,LJ,1_104_LJ_30600,,Zegama,1,,shp_1_104,0,0
5,S,5_505_S_68400,,Zumarraga,0,,shp_5_505,0,0
6,LJ,6_608_LJ_44700,,Zumarraga,1,,shp_6_608,0,0
1,D,1_103_D_77400,,Zaldibia,0,,shp_1_103,0,0
1,D,1_104_D_52500,,Zegama,1,,shp_1_104,0,0
1,S,1_102_S_70200,,Zegama,1,,shp_1_102,0,0
4,S,4_408_S_45300,,Ordizia,1,,shp_4_408,0,0
6,V,6_604_V_48600,,Ormaiztegi,1,,shp_6_604,0,0
5,LJ,5_505_LJ_36000,,Zumarraga,0,,shp_5_505,0,0
1,D,1_103_D_66600,,Zaldibia,0,,shp_1_103,0,0
21,D,21_2108_D_75000,,Altzagarate,1,,shp_21_2108,0,0
4,V,4_411_V_59100,,Ataun(kaxeta),0,,shp_4_411,0,0
23,V,23_2302_V_42900,,Gaintza,1,,shp_23_2302,0,0
4,V,4_406_V_57900,,Legorreta,1,,shp_4_406,0,0
22,LJ,22_2202_LJ_30900,,Mutiloa,1,,shp_22_2202,0,0
7,S,7_702_S_74700,,Zumarraga,1,,shp_7_702,0,0
22,S,22_2202_S_36600,,Mutiloa,1,,shp_22_2202,0,0
4,D,4_413_D_66300,,Ataun(san Gregorio),0,,shp_4_413,0,0
7,LJ,7_703_LJ_25500,,Donostia,0,,shp_7_703,0,0
1,V,1_109_V_25200,,Ordizia,0,,shp_1_109,0,0
23,D,23_2302_D_71100,,Gaintza,1,,shp_23_2302,0,0
4,LJ,4_408_LJ_30000,,Ordizia,1,,shp_4_408,0,0
6,D,6_602_D_72000,,Ormaiztegi,1,,shp_6_602,0,0
7,LJ,7_701_LJ_29700,,Donostia,0,,shp_7_701,0,0
1,LJ,1_102_LJ_74700,,Zegama,1,,shp_1_102,0,0
6,V,6_602_V_47400,,Ormaiztegi,1,,shp_6_602,0,0
4,S,4_408_S_56100,,Ordizia,1,,shp_4_408,0,0
4,V,4_405_V_42600,,Ataun(san Gregorio),0,,shp_4_405,0,0
4,S,4_403_S_64200,,Ataun(kaxeta),0,,shp_4_403,0,0
6,V,6_602_V_49800,,Ormaiztegi,1,,shp_6_602,0,0
4,LJ,4_412_LJ_64500,,Ordizia,1,,shp_4_412,0,0
6,V,6_601_V_31500,,Gabiria,0,,shp_6_601,0,0
1,S,1_101_S_45000,,Zaldibia,0,,shp_1_101,0,0
6,S,6_608_S_44700,,Zumarraga,1,,shp_6_608,0,0
4,V,4_415_V_79800,,Lazkao,0,,shp_4_415,0,0
6,S,6_608_S_68700,,Zumarraga,1,,shp_6_608,0,0
3,V,3_301_V_55800,,Lazkao,0,,shp_3_301,0,0
1,V,1_106_V_77400,,Zegama,1,,shp_1_106,0,0
6,D,6_602_D_39900,,Ormaiztegi,1,,shp_6_602,0,0
21,V,21_2108_V_62700,,Altzagarate,1,,shp_21_2108,0,0
4,LJ,4_411_LJ_59100,,Ataun(kaxeta),0,,shp_4_411,0,0
1,V,1_101_V_51000,,Zaldibia,0,,shp_1_101,0,0
1,V,1_102_V_42300,,Zegama,1,,shp_1_102,0,0
3,LJ,3_301_LJ_70500,,Lazkao,0,,shp_3_301,0,0
5,LJ,5_508_LJ_61200,,Lazkao,1,,shp_5_508,0,0
5,V,5_505_V_72000,,Zumarraga,0,,shp_5_505,0,0
4,LJ,4_405_LJ_49500,,Ataun(san Gregorio),0,,shp_4_405,0,0
23,S,23_2302_S_45300,,Gaintza,1,,shp_23_2302,0,0
23,LJ,23_2302_LJ_57300,,Gaintza,1,,shp_23_2302,0,0
4,D,4_402_D_71700,,Legorreta,1,,shp_4_402,0,0
22,D,22_2201_D_66300,,Segura,0,,shp_22_2201,0,0
23,V,23_2302_V_68100,,Gaintza,1,,shp_23_2302,0,0
23,D,23_2301_D_39900,,Ordizia,0,,shp_23_2301,0,0
21,LJ,21_2105_LJ_63600,,Ordizia,0,,shp_21_2105,0,0
22,LJ,22_2202_LJ_77100,,Mutiloa,1,,shp_22_2202,0,0
21,V,21_2103_V_44700,,Ordizia,0,,shp_21_2103,0,0
1,LJ,1_102_LJ_63900,,Zegama,1,,shp_1_102,0,0
6,D,6_608_D_36600,,Zumarraga,1,,shp_6_608,0,0
21,LJ,21_2108_LJ_62700,,Altzagarate,1,,shp_21_2108,0,0
22,D,22_2202_D_47100,,Mutiloa,1,,shp_22_2202,0,0
4,V,4_425_V_47880,,Ataun(aia),0,,shp_4_425,0,0
4,V,4_412_V_74100,,Ordizia,1,,shp_4_412,0,0
6,S,6_605_S_43800,,Ezkio,0,,shp_6_605,0,0
6,S,6_603_S_66600,,Itsaso,0,,shp_6_603,0,0
1,S,1_101_S_41400,,Zaldibia,0,,shp_1_101,0,0
4,LJ,4_413_LJ_65400,,Ataun(san Gregorio),0,,shp_4_413,0,0
4,LJ,4_406_LJ_25800,,Legorreta,1,,shp_4_406,0,0
1,S,1_101_S_51900,,Zaldibia,0,,shp_1_101,0,0
6,V,6_601_V_68700,,Gabiria,0,,shp_6_601,0,0
21,LJ,21_2103_LJ_36300,,Ordizia,0,,shp_21_2103,0,0
6,S,6_603_S_34500,,Itsaso,0,,shp_6_603,0,0
5,LJ,5_506_LJ_26100,,Lazkao,1,,shp_5_506,0,0
6,V,6_607_V_61800,,Ezkio,0,,shp_6_607,0,0
23,S,23_2302_S_50100,,Gaintza,1,,shp_23_2302,0,0
4,LJ,4_404_LJ_43200,,Legorreta,1,,shp_4_404,0,0
21,V,21_2103_V_23400,,Ordizia,0,,shp_21_2103,0,0
22,S,22_2202_S_54900,,Mutiloa,1,,shp_22_2202,0,0
1,S,1_101_S_62700,,Zaldibia,0,,shp_1_101,0,0
6,V,6_602_V_25800,,Ormaiztegi,1,,shp_6_602,0,0
21,V,21_2105_V_72600,,Ordizia,0,,shp_21_2105,0,0
23,V,23_2302_V_35400,,Gaintza,1,,shp_23_2302,0,0
1,V,1_102_V_47700,,Zegama,1,,shp_1_102,0,0
23,LJ,23_2302_LJ_42900,,Gaintza,1,,shp_23_2302,0,0
6,V,6_607_V_72600,,Ezkio,0,,shp_6_607,0,0
21,LJ,21_2105_LJ_51000,,Ordizia,0,,shp_21_2105,0,0
6,S,6_605_S_35700,,Ezkio,0,,shp_6_605,0,0
5,LJ,5_508_LJ_72000,,Lazkao,1,,shp_5_508,0,0
6,LJ,6_606_LJ_46500,,Ormaiztegi,1,,shp_6_606,0,0
6,S,6_604_S_27000,,Ormaiztegi,1,,shp_6_604,0,0
6,LJ,6_606_LJ_73200,,Ormaiztegi,1,,shp_6_606,0,0
1,LJ,1_102_LJ_32400,,Zegama,1,,shp_1_102,0,0
1,D,1_103_D_37500,,Zaldibia,0,,shp_1_103,0,0
1,LJ,1_101_LJ_58500,,Zaldibia,0,,shp_1_101,0,0
7,S,7_701_S_51300,,Donostia,0,,shp_7_701,0,0
7,V,7_701_V_69300,,Donostia,0,,shp_7_701,0,0
21,D,21_2105_D_48000,,Ordizia,0,,shp_21_2105,0,0
6,S,6_608_S_76800,,Zumarraga,1,,shp_6_608,0,0
6,S,6_606_S_38400,,Ormaiztegi,1,,shp_6_606,0,0
6,V,6_601_V_37500,,Gabiria,0,,shp_6_601,0,0
4,D,4_405_D_39000,,Ataun(san Gregorio),0,,shp_4_405,0,0
6,LJ,6_608_LJ_34500,,Zumarraga,1,,shp_6_608,0,0
4,LJ,4_414_LJ_41400,,Ordizia,1,,shp_4_414,0,0
7,V,7_701_V_54900,,Donostia,0,,shp_7_701,0,0
1,LJ,1_103_LJ_27600,,Zaldibia,0,,shp_1_103,0,0
7,LJ,7_702_LJ_67500,,Zumarraga,1,,shp_7_702,0,0
5,V,5_502_V_28800,,Lazkao,1,,shp_5_502,0,0
6,LJ,6_601_LJ_58800,,Gabiria,0,,shp_6_601,0,0
6,V,6_611_V_26400,,Ezkio,0,,shp_6_611,0,0
23,LJ,23_2302_LJ_68100,,Gaintza,1,,shp_23_2302,0,0
4,LJ,4_411_LJ_67200,,Ataun(kaxeta),0,,shp_4_411,0,0
6,LJ,6_611_LJ_26400,,Ezkio,0,,shp_6_611,0,0
6,S,6_605_S_60000,,Ezkio,0,,shp_6_605,0,0
5,S,5_502_S_54000,,Lazkao,1,,shp_5_502,0,0
21,V,21_2102_V_43200,,Altzaga,1,,shp_21_2102,0,0
4,V,4_413_V_43800,,Ataun(san Gregorio),0,,shp_4_413,0,0
22,V,22_2202_V_53700,,Mutiloa,1,,shp_22_2202,0,0
5,V,5_503_V_82800,,Beasain,0,,shp_5_503,0,0
1,LJ,1_101_LJ_54900,,Zaldibia,0,,shp_1_101,0,0
22,D,22_2201_D_33900,,Segura,0,,shp_22_2201,0,0
7,V,7_702_V_38700,,Zumarraga,1,,shp_7_702,0,0
23,LJ,23_2301_LJ_61200,,Ordizia,0,,shp_23_2301,0,0
1,S,1_104_S_27000,,Zegama,1,,shp_1_104,0,0
6,D,6_602_D_80100,,Ormaiztegi,1,,shp_6_602,0,0
4,LJ,4_413_LJ_43800,,Ataun(san Gregorio),0,,shp_4_413,0,0
3,D,3_302_D_66600,,Beasain,1,,shp_3_302,0,0
41,D,41_4102_D_600,,Legorreta,1,,shp_41_4102,0,0
6,S,6_608_S_36600,,Zumarraga,1,,shp_6_608,0,0
4,D,4_412_D_34500,,Ordizia,1,,shp_4_412,0,0
5,V,5_501_V_50400,,Zumarraga(ospitalea),0,,shp_5_501,0,0
1,LJ,1_104_LJ_28800,,Zegama,1,,shp_1_104,0,0
5,V,5_505_V_43200,,Zumarraga,0,,shp_5_505,0,0
7,LJ,7_701_LJ_58500,,Donostia,0,,shp_7_701,0,0
1,V,1_102_V_60300,,Zegama,1,,shp_1_102,0,0
5,LJ,5_508_LJ_43200,,Lazkao,1,,shp_5_508,0,0
6,S,6_603_S_42600,,Itsaso,0,,shp_6_603,0,0
21,V,21_2103_V_59100,,Ordizia,0,,shp_21_2103,0,0
6,D,6_608_D_68700,,Zumarraga,1,,shp_6_608,0,0
4,D,4_403_D_75000,,Ataun(kaxeta),0,,shp_4_403,0,0
6,V,6_604_V_25200,,Ormaiztegi,1,,shp_6_604,0,0
5,V,5_502_V_79200,,Lazkao,1,,shp_5_502,0,0
21,D,21_2108_D_47700,,Altzagarate,1,,shp_21_2108,0,0
4,LJ,4_417_LJ_28200,,Ataun(aia),0,,shp_4_417,0,0
3,V,3_302_V_33600,,Beasain,1,,shp_3_302,0,0
6,S,6_607_S_77700,,Ezkio,0,,shp_6_607,0,0
6,V,6_604_V_65100,,Ormaiztegi,1,,shp_6_604,0,0
1,V,1_102_V_35100,,Zegama,1,,shp_1_102,0,0
6,D,6_604_D_31200,,Ormaiztegi,1,,shp_6_604,0,0
1,V,1_101_V_63900,,Zaldibia,0,,shp_1_101,0,0
5,V,5_503_V_79200,,Beasain,0,,shp_5_503,0,0
4,D,4_412_D_74400,,Ordizia,1,,shp_4_412,0,0
1,LJ,1_110_LJ_50400,,Zegama,1,,shp_1_110,0,0
7,V,7_701_V_36900,,Donostia,0,,shp_7_701,0,0
5,V,5_508_V_64800,,Lazkao,1,,shp_5_508,0,0
4,V,4_405_V_31500,,Ataun(san Gregorio),0,,shp_4_405,0,0
5,LJ,5_505_LJ_54000,,Zumarraga,0,,shp_5_505,0,0
7,D,7_702_D_81900,,Zumarraga,1,,shp_7_702,0,0
23,V,23_2301_V_31200,,Ordizia,0,,shp_23_2301,0,0
6,S,6_602_S_55800,,Ormaiztegi,1,,shp_6_602,0,0
6,D,6_605_D_35700,,Ezkio,0,,shp_6_605,0,0
4,D,4_405_D_28200,,Ataun(san Gregorio),0,,shp_4_405,0,0
23,V,23_2302_V_59400,,Gaintza,1,,shp_23_2302,0,0
21,V,21_2103_V_72900,,Ordizia,0,,shp_21_2103,0,0
5,LJ,5_501_LJ_75600,,Zumarraga(ospitalea),0,,shp_5_501,0,0
7,V,7_702_V_71100,,Zumarraga,1,,shp_7_702,0,0
4,LJ,4_428_LJ_53700,,Ordizia,1,,shp_4_428,0,0
6,D,6_602_D_30000,,Ormaiztegi,1,,shp_6_602,0,0
7,S,7_702_S_67500,,Zumarraga,1,,shp_7_702,0,0
4,S,4_406_S_47100,,Legorreta,1,,shp_4_406,0,0
41,D,41_4102_D_13200,,Legorreta,1,,shp_41_4102,0,0
4,V,4_440_V_67200,,Ordizia,1,,shp_4_440,0,0
7,V,7_702_V_27900,,Zumarraga,1,,shp_7_702,0,0
6,LJ,6_606_LJ_62400,,Ormaiztegi,1,,shp_6_606,0,0
4,V,4_410_V_69900,,Ordizia,1,,shp_4_410,0,0
6,D,6_605_D_67800,,Ezkio,0,,shp_6_605,0,0
21,LJ,21_2103_LJ_72900,,Ordizia,0,,shp_21_2103,0,0
1,S,1_101_S_34200,,Zaldibia,0,,shp_1_101,0,0
6,S,6_607_S_45600,,Ezkio,0,,shp_6_607,0,0
7,D,7_701_D_80100,,Donostia,0,,shp_7_701,0,0
5,S,5_505_S_46800,,Zumarraga,0,,shp_5_505,0,0
4,V,4_408_V_30000,,Ordizia,1,,shp_4_408,0,0
