trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
2_202_2_4500,01:15:00,01:15:05,1381,1,Zinkoenea,0,0,0
2_202_2_4500,01:17:10,01:17:15,5547,2,,0,0,0
2_201_2_73800,20:30:00,20:30:05,5562,1,Sidrerias Hernani,0,0,0
2_201_2_73800,20:31:23,20:31:28,1381,2,,0,0,0
1_104_4_30600,08:30:00,08:30:05,5558,1,Zinkoenea,0,0,0
1_104_4_30600,08:31:10,08:31:15,5547,2,Florida 23 (lidl),0,0,0
1_104_4_30600,08:32:04,08:32:09,5548,3,Florida 69 ( Etxe Haundi),0,0,0
1_104_4_30600,08:33:27,08:33:32,5549,4,Florida 100,0,0,0
1_104_4_30600,08:34:06,08:34:11,5550,5,Etxeberri (frontoia),0,0,0
1_104_4_30600,08:35:20,08:35:25,5551,6,Cumbre,0,0,0
1_104_4_30600,08:35:56,08:36:01,5552,7,Bestizan,0,0,0
1_104_4_30600,08:36:43,08:36:48,5553,8,Bolatoki,0,0,0
1_104_4_30600,08:37:37,08:37:42,5554,9,Florida 69 (etxe Haundi 2),0,0,0
1_104_4_30600,08:38:03,08:38:08,5555,10,Sagastialde,0,0,0
1_104_4_30600,08:38:43,08:38:48,5556,11,Antziola,0,0,0
1_104_4_30600,08:39:54,08:39:59,5557,12,Antziola Auzoa 17,0,0,0
1_104_4_30600,08:40:24,08:40:29,2501,13,Antziola 10,0,0,0
1_104_4_30600,08:41:29,08:41:34,2516,14,Urbieta Kalea,0,0,0
1_104_4_30600,08:42:52,08:42:57,5177,15,Izpizua Kalea - Aratz Ikastetxea,0,0,0
1_104_4_30600,08:44:01,08:44:06,4102,16,Elkano,0,0,0
1_104_4_30600,08:45:09,08:45:14,5558,17,,0,0,0
2_201_2_48600,13:30:00,13:30:05,5562,1,Sidrerias Hernani,0,0,0
2_201_2_48600,13:31:23,13:31:28,1381,2,,0,0,0
2_201_1_48600,13:30:00,13:30:05,5562,1,Sidrerias Hernani,0,0,0
2_201_1_48600,13:31:23,13:31:28,1381,2,,0,0,0
2_202_4_88200,24:30:00,24:30:05,1381,1,Zinkoenea,0,0,0
2_202_4_88200,24:32:10,24:32:15,5547,2,,0,0,0
2_202_2_84600,23:30:00,23:30:05,1381,1,Zinkoenea,0,0,0
2_202_2_84600,23:32:10,23:32:15,5547,2,,0,0,0
2_202_2_62100,17:15:00,17:15:05,1381,1,Zinkoenea,0,0,0
2_202_2_62100,17:17:10,17:17:15,5547,2,,0,0,0
1_104_4_34200,09:30:00,09:30:05,5558,1,Zinkoenea,0,0,0
1_104_4_34200,09:31:10,09:31:15,5547,2,Florida 23 (lidl),0,0,0
1_104_4_34200,09:32:04,09:32:09,5548,3,Florida 69 ( Etxe Haundi),0,0,0
1_104_4_34200,09:33:27,09:33:32,5549,4,Florida 100,0,0,0
1_104_4_34200,09:34:06,09:34:11,5550,5,Etxeberri (frontoia),0,0,0
1_104_4_34200,09:35:20,09:35:25,5551,6,Cumbre,0,0,0
1_104_4_34200,09:35:56,09:36:01,5552,7,Bestizan,0,0,0
1_104_4_34200,09:36:43,09:36:48,5553,8,Bolatoki,0,0,0
1_104_4_34200,09:37:37,09:37:42,5554,9,Florida 69 (etxe Haundi 2),0,0,0
1_104_4_34200,09:38:03,09:38:08,5555,10,Sagastialde,0,0,0
1_104_4_34200,09:38:43,09:38:48,5556,11,Antziola,0,0,0
1_104_4_34200,09:39:54,09:39:59,5557,12,Antziola Auzoa 17,0,0,0
1_104_4_34200,09:40:24,09:40:29,2501,13,Antziola 10,0,0,0
1_104_4_34200,09:41:29,09:41:34,2516,14,Urbieta Kalea,0,0,0
1_104_4_34200,09:42:52,09:42:57,5177,15,Izpizua Kalea - Aratz Ikastetxea,0,0,0
1_104_4_34200,09:44:01,09:44:06,4102,16,Elkano,0,0,0
1_104_4_34200,09:45:09,09:45:14,5558,17,,0,0,0
2_201_1_51300,14:15:00,14:15:05,5562,1,Sidrerias Hernani,0,0,0
2_201_1_51300,14:16:23,14:16:28,1381,2,,0,0,0
2_201_2_51300,14:15:00,14:15:05,5562,1,Sidrerias Hernani,0,0,0
2_201_2_51300,14:16:23,14:16:28,1381,2,,0,0,0
1_102_1_29100,08:05:00,08:05:05,5563,1,Zikuñaga Auzoa,0,0,0
1_102_1_29100,08:05:59,08:06:04,5564,2,Karabel Biribilgunea,0,0,0
1_102_1_29100,08:07:44,08:07:49,1734,3,Zinkoenea,0,0,0
1_102_1_29100,08:09:17,08:09:22,5547,4,Florida 23 (lidl),0,0,0
1_102_1_29100,08:10:11,08:10:16,5548,5,Florida 69 ( Etxe Haundi),0,0,0
1_102_1_29100,08:11:34,08:11:39,5549,6,Florida 100,0,0,0
1_102_1_29100,08:12:13,08:12:18,5550,7,Etxeberri (frontoia),0,0,0
1_102_1_29100,08:13:27,08:13:32,5551,8,Cumbre,0,0,0
1_102_1_29100,08:14:03,08:14:08,5552,9,Bestizan,0,0,0
1_102_1_29100,08:14:50,08:14:55,5553,10,Bolatoki,0,0,0
1_102_1_29100,08:15:44,08:15:49,5554,11,Florida 69 (etxe Haundi 2),0,0,0
1_102_1_29100,08:16:10,08:16:15,5555,12,Sagastialde,0,0,0
1_102_1_29100,08:16:50,08:16:55,5556,13,Antziola,0,0,0
1_102_1_29100,08:18:01,08:18:06,5557,14,Antziola Auzoa 17,0,0,0
1_102_1_29100,08:18:31,08:18:36,2501,15,Antziola 10,0,0,0
1_102_1_29100,08:19:36,08:19:41,2516,16,Urbieta Kalea,0,0,0
1_102_1_29100,08:20:59,08:21:04,5177,17,Izpizua Kalea - Aratz Ikastetxea,0,0,0
1_102_1_29100,08:22:08,08:22:13,4102,18,Elkano,0,0,0
