trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
2_1_1_61200,17:00:00,17:00:05,4616,1,Antxisu Bailara 37,0,0,0
2_1_1_61200,17:00:37,17:00:42,405,2,Oria Hiribidea - Zelaialde,0,0,0
2_1_1_61200,17:03:35,17:03:40,20,3,Oria Hiribidea 7 - Eliza,0,0,0
2_1_1_61200,17:04:04,17:04:09,7484,4,"Zirkuitu Ibilbidea, 17 -basaundi",0,0,0
2_1_1_61200,17:04:52,17:04:57,407,5,Kale Nagusia - Oztaran,0,0,0
2_1_1_61200,17:05:55,17:06:00,408,6,Nagusia 63,0,0,0
2_1_1_61200,17:06:59,17:07:04,4556,7,Kale Nagusia 41 - Zumaburu,0,0,0
2_1_1_61200,17:08:03,17:08:08,215,8,Bekokale Lasarte,0,0,0
2_1_1_61200,17:08:58,17:09:03,469,9,Kalbario Bidea (lasarte-oria),0,0,0
2_1_1_61200,17:09:38,17:09:43,231,10,Buenos Aires Aldapa Nº 11,0,0,0
2_1_1_61200,17:10:27,17:10:32,7489,11,Buenos Aires,0,0,0
2_1_1_61200,17:10:46,17:10:51,4559,12,Barrio Zabaleta (lasarte-oria),0,0,0
2_1_1_61200,17:11:12,17:11:17,232,13,Osina Kalea,0,0,0
2_1_1_61200,17:12:15,17:12:20,7487,14,Pepenea Kalea,0,0,0
2_1_1_61200,17:12:38,17:12:43,7488,15,Pinutegi Kale Frente Nº3-5,0,0,0
2_1_1_61200,17:13:45,17:13:50,7486,16,Pinutegi Kalea Nº6-8,0,0,0
2_1_1_61200,17:13:57,17:14:02,7485,17,Goiegi,0,0,0
2_1_1_61200,17:15:04,17:15:09,233,18,Donostia Etorbidea -sasoeta Atsobakar,0,0,0
2_1_1_61200,17:16:14,17:16:19,361,19,Kale Nagusia 4,0,0,0
2_1_1_61200,17:17:28,17:17:33,383,20,Kale Nagusia 40 - Zumaburu,0,0,0
2_1_1_61200,17:19:00,17:19:05,212,21,Dia,0,0,0
2_1_1_61200,17:19:48,17:19:53,4564,22,Kale Nagusia 70,0,0,0
2_1_1_61200,17:20:32,17:20:37,384,23,Arranbide,0,0,0
2_1_1_61200,17:21:33,17:21:38,7490,24,Txartel,0,0,0
2_1_1_61200,17:21:45,17:21:50,4565,25,Basaundi,0,0,0
2_1_1_61200,17:22:42,17:22:47,2607,26,Iturrigoxo,0,0,0
2_1_1_61200,17:23:50,17:23:55,2608,27,Oria Gaina,0,0,0
2_1_1_61200,17:24:26,17:24:31,2609,28,Oria Hiribidea,0,0,0
2_1_1_61200,17:25:22,17:25:27,386,29,Txitxardin,0,0,0
2_1_1_61200,17:32:53,17:32:58,4567,30,,0,0,0
2_1_1_31200,08:40:00,08:40:05,4616,1,Antxisu Bailara 37,0,0,0
2_1_1_31200,08:40:37,08:40:42,405,2,Oria Hiribidea - Zelaialde,0,0,0
2_1_1_31200,08:43:35,08:43:40,20,3,Oria Hiribidea 7 - Eliza,0,0,0
2_1_1_31200,08:44:04,08:44:09,7484,4,"Zirkuitu Ibilbidea, 17 -basaundi",0,0,0
2_1_1_31200,08:44:52,08:44:57,407,5,Kale Nagusia - Oztaran,0,0,0
2_1_1_31200,08:45:55,08:46:00,408,6,Nagusia 63,0,0,0
2_1_1_31200,08:46:59,08:47:04,4556,7,Kale Nagusia 41 - Zumaburu,0,0,0
2_1_1_31200,08:48:03,08:48:08,215,8,Bekokale Lasarte,0,0,0
2_1_1_31200,08:48:58,08:49:03,469,9,Kalbario Bidea (lasarte-oria),0,0,0
2_1_1_31200,08:49:38,08:49:43,231,10,Buenos Aires Aldapa Nº 11,0,0,0
2_1_1_31200,08:50:27,08:50:32,7489,11,Buenos Aires,0,0,0
2_1_1_31200,08:50:46,08:50:51,4559,12,Barrio Zabaleta (lasarte-oria),0,0,0
2_1_1_31200,08:51:12,08:51:17,232,13,Osina Kalea,0,0,0
2_1_1_31200,08:52:15,08:52:20,7487,14,Pepenea Kalea,0,0,0
2_1_1_31200,08:52:38,08:52:43,7488,15,Pinutegi Kale Frente Nº3-5,0,0,0
2_1_1_31200,08:53:45,08:53:50,7486,16,Pinutegi Kalea Nº6-8,0,0,0
2_1_1_31200,08:53:57,08:54:02,7485,17,Goiegi,0,0,0
2_1_1_31200,08:55:04,08:55:09,233,18,Donostia Etorbidea -sasoeta Atsobakar,0,0,0
2_1_1_31200,08:56:14,08:56:19,361,19,Kale Nagusia 4,0,0,0
2_1_1_31200,08:57:28,08:57:33,383,20,Kale Nagusia 40 - Zumaburu,0,0,0
2_1_1_31200,08:59:00,08:59:05,212,21,Dia,0,0,0
2_1_1_31200,08:59:48,08:59:53,4564,22,Kale Nagusia 70,0,0,0
2_1_1_31200,09:00:32,09:00:37,384,23,Arranbide,0,0,0
2_1_1_31200,09:01:33,09:01:38,7490,24,Txartel,0,0,0
2_1_1_31200,09:01:45,09:01:50,4565,25,Basaundi,0,0,0
2_1_1_31200,09:02:42,09:02:47,2607,26,Iturrigoxo,0,0,0
2_1_1_31200,09:03:50,09:03:55,2608,27,Oria Gaina,0,0,0
2_1_1_31200,09:04:26,09:04:31,2609,28,Oria Hiribidea,0,0,0
2_1_1_31200,09:05:22,09:05:27,386,29,Txitxardin,0,0,0
2_1_1_31200,09:12:53,09:12:58,4567,30,,0,0,0
2_1_1_45000,12:30:00,12:30:05,4616,1,Antxisu Bailara 37,0,0,0
2_1_1_45000,12:30:37,12:30:42,405,2,Oria Hiribidea - Zelaialde,0,0,0
2_1_1_45000,12:33:35,12:33:40,20,3,Oria Hiribidea 7 - Eliza,0,0,0
2_1_1_45000,12:34:04,12:34:09,7484,4,"Zirkuitu Ibilbidea, 17 -basaundi",0,0,0
2_1_1_45000,12:34:52,12:34:57,407,5,Kale Nagusia - Oztaran,0,0,0
2_1_1_45000,12:35:55,12:36:00,408,6,Nagusia 63,0,0,0
2_1_1_45000,12:36:59,12:37:04,4556,7,Kale Nagusia 41 - Zumaburu,0,0,0
2_1_1_45000,12:38:03,12:38:08,215,8,Bekokale Lasarte,0,0,0
2_1_1_45000,12:38:58,12:39:03,469,9,Kalbario Bidea (lasarte-oria),0,0,0
2_1_1_45000,12:39:38,12:39:43,231,10,Buenos Aires Aldapa Nº 11,0,0,0
2_1_1_45000,12:40:27,12:40:32,7489,11,Buenos Aires,0,0,0
2_1_1_45000,12:40:46,12:40:51,4559,12,Barrio Zabaleta (lasarte-oria),0,0,0
2_1_1_45000,12:41:12,12:41:17,232,13,Osina Kalea,0,0,0
2_1_1_45000,12:42:15,12:42:20,7487,14,Pepenea Kalea,0,0,0
2_1_1_45000,12:42:38,12:42:43,7488,15,Pinutegi Kale Frente Nº3-5,0,0,0
2_1_1_45000,12:43:45,12:43:50,7486,16,Pinutegi Kalea Nº6-8,0,0,0
2_1_1_45000,12:43:57,12:44:02,7485,17,Goiegi,0,0,0
2_1_1_45000,12:45:04,12:45:09,233,18,Donostia Etorbidea -sasoeta Atsobakar,0,0,0
2_1_1_45000,12:46:14,12:46:19,361,19,Kale Nagusia 4,0,0,0
2_1_1_45000,12:47:28,12:47:33,383,20,Kale Nagusia 40 - Zumaburu,0,0,0
2_1_1_45000,12:49:00,12:49:05,212,21,Dia,0,0,0
2_1_1_45000,12:49:48,12:49:53,4564,22,Kale Nagusia 70,0,0,0
2_1_1_45000,12:50:32,12:50:37,384,23,Arranbide,0,0,0
2_1_1_45000,12:51:33,12:51:38,7490,24,Txartel,0,0,0
2_1_1_45000,12:51:45,12:51:50,4565,25,Basaundi,0,0,0
2_1_1_45000,12:52:42,12:52:47,2607,26,Iturrigoxo,0,0,0
2_1_1_45000,12:53:50,12:53:55,2608,27,Oria Gaina,0,0,0
2_1_1_45000,12:54:26,12:54:31,2609,28,Oria Hiribidea,0,0,0
2_1_1_45000,12:55:22,12:55:27,386,29,Txitxardin,0,0,0
2_1_1_45000,13:02:53,13:02:58,4567,30,,0,0,0
2_1_1_70200,19:30:00,19:30:05,4616,1,Antxisu Bailara 37,0,0,0
2_1_1_70200,19:30:37,19:30:42,405,2,Oria Hiribidea - Zelaialde,0,0,0
2_1_1_70200,19:33:35,19:33:40,20,3,Oria Hiribidea 7 - Eliza,0,0,0
2_1_1_70200,19:34:04,19:34:09,7484,4,"Zirkuitu Ibilbidea, 17 -basaundi",0,0,0
2_1_1_70200,19:34:52,19:34:57,407,5,Kale Nagusia - Oztaran,0,0,0
2_1_1_70200,19:35:55,19:36:00,408,6,Nagusia 63,0,0,0
2_1_1_70200,19:36:59,19:37:04,4556,7,Kale Nagusia 41 - Zumaburu,0,0,0
2_1_1_70200,19:38:03,19:38:08,215,8,Bekokale Lasarte,0,0,0
