trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
1_2_2_31200,08:40:00,08:40:05,19,1,Talaia,0,0,0
1_2_2_31200,08:41:48,08:41:53,114,2,Mamut Merk.gunea,0,0,0
1_2_2_31200,08:42:18,08:42:23,115,3,Aristegi,0,0,0
1_2_2_31200,08:43:01,08:43:06,4106,4,Ugaldetxo,0,0,0
1_2_2_31200,08:44:15,08:44:20,116,5,Ibarre,0,0,0
1_2_2_31200,08:45:04,08:45:09,4986,6,Iturriotz,0,0,0
1_2_2_31200,08:46:03,08:46:08,4987,7,Altzibar Bat,0,0,0
1_2_2_31200,08:46:46,08:46:51,4988,8,Altzibar Bi,0,0,0
1_2_2_31200,08:47:26,08:47:31,4989,9,Elorrondo 1,0,0,0
1_2_2_31200,08:48:23,08:48:28,4985,10,Elorrondo 2,0,0,0
1_2_2_31200,08:49:50,08:49:55,4990,11,Anbulategia,0,0,0
1_2_2_31200,08:51:25,08:51:30,4991,12,Yon Oñatibia,0,0,0
1_2_2_31200,08:51:37,08:51:42,4992,13,Mendin,0,0,0
1_2_2_31200,08:54:20,08:54:25,4993,14,,0,0,0
1_2_2_42000,11:40:00,11:40:05,19,1,Talaia,0,0,0
1_2_2_42000,11:41:48,11:41:53,114,2,Mamut Merk.gunea,0,0,0
1_2_2_42000,11:42:18,11:42:23,115,3,Aristegi,0,0,0
1_2_2_42000,11:43:01,11:43:06,4106,4,Ugaldetxo,0,0,0
1_2_2_42000,11:44:15,11:44:20,116,5,Ibarre,0,0,0
1_2_2_42000,11:45:04,11:45:09,4986,6,Iturriotz,0,0,0
1_2_2_42000,11:46:03,11:46:08,4987,7,Altzibar Bat,0,0,0
1_2_2_42000,11:46:46,11:46:51,4988,8,Altzibar Bi,0,0,0
1_2_2_42000,11:47:26,11:47:31,4989,9,Elorrondo 1,0,0,0
1_2_2_42000,11:48:23,11:48:28,4985,10,Elorrondo 2,0,0,0
1_2_2_42000,11:49:50,11:49:55,4990,11,Anbulategia,0,0,0
1_2_2_42000,11:51:25,11:51:30,4991,12,Yon Oñatibia,0,0,0
1_2_2_42000,11:51:37,11:51:42,4992,13,Mendin,0,0,0
1_2_2_42000,11:54:20,11:54:25,4993,14,,0,0,0
1_2_3_42000,11:40:00,11:40:05,19,1,Talaia,0,0,0
1_2_3_42000,11:41:48,11:41:53,114,2,Mamut Merk.gunea,0,0,0
1_2_3_42000,11:42:18,11:42:23,115,3,Aristegi,0,0,0
1_2_3_42000,11:43:01,11:43:06,4106,4,Ugaldetxo,0,0,0
1_2_3_42000,11:44:15,11:44:20,116,5,Ibarre,0,0,0
1_2_3_42000,11:45:04,11:45:09,4986,6,Iturriotz,0,0,0
1_2_3_42000,11:46:03,11:46:08,4987,7,Altzibar Bat,0,0,0
1_2_3_42000,11:46:46,11:46:51,4988,8,Altzibar Bi,0,0,0
1_2_3_42000,11:47:26,11:47:31,4989,9,Elorrondo 1,0,0,0
1_2_3_42000,11:48:23,11:48:28,4985,10,Elorrondo 2,0,0,0
1_2_3_42000,11:49:50,11:49:55,4990,11,Anbulategia,0,0,0
1_2_3_42000,11:51:25,11:51:30,4991,12,Yon Oñatibia,0,0,0
1_2_3_42000,11:51:37,11:51:42,4992,13,Mendin,0,0,0
1_2_3_42000,11:54:20,11:54:25,4993,14,,0,0,0
1_2_1_31200,08:40:00,08:40:05,19,1,Talaia,0,0,0
1_2_1_31200,08:41:48,08:41:53,114,2,Mamut Merk.gunea,0,0,0
1_2_1_31200,08:42:18,08:42:23,115,3,Aristegi,0,0,0
1_2_1_31200,08:43:01,08:43:06,4106,4,Ugaldetxo,0,0,0
1_2_1_31200,08:44:15,08:44:20,116,5,Ibarre,0,0,0
1_2_1_31200,08:45:04,08:45:09,4986,6,Iturriotz,0,0,0
1_2_1_31200,08:46:03,08:46:08,4987,7,Altzibar Bat,0,0,0
1_2_1_31200,08:46:46,08:46:51,4988,8,Altzibar Bi,0,0,0
1_2_1_31200,08:47:26,08:47:31,4989,9,Elorrondo 1,0,0,0
1_2_1_31200,08:48:23,08:48:28,4985,10,Elorrondo 2,0,0,0
1_2_1_31200,08:49:50,08:49:55,4990,11,Anbulategia,0,0,0
1_2_1_31200,08:51:25,08:51:30,4991,12,Yon Oñatibia,0,0,0
1_2_1_31200,08:51:37,08:51:42,4992,13,Mendin,0,0,0
1_2_1_31200,08:54:20,08:54:25,4993,14,,0,0,0
1_2_4_60000,16:40:00,16:40:05,19,1,Talaia,0,0,0
1_2_4_60000,16:41:48,16:41:53,114,2,Mamut Merk.gunea,0,0,0
1_2_4_60000,16:42:18,16:42:23,115,3,Aristegi,0,0,0
1_2_4_60000,16:43:01,16:43:06,4106,4,Ugaldetxo,0,0,0
1_2_4_60000,16:44:15,16:44:20,116,5,Ibarre,0,0,0
1_2_4_60000,16:45:04,16:45:09,4986,6,Iturriotz,0,0,0
1_2_4_60000,16:46:03,16:46:08,4987,7,Altzibar Bat,0,0,0
1_2_4_60000,16:46:46,16:46:51,4988,8,Altzibar Bi,0,0,0
1_2_4_60000,16:47:26,16:47:31,4989,9,Elorrondo 1,0,0,0
1_2_4_60000,16:48:23,16:48:28,4985,10,Elorrondo 2,0,0,0
1_2_4_60000,16:49:50,16:49:55,4990,11,Anbulategia,0,0,0
1_2_4_60000,16:51:25,16:51:30,4991,12,Yon Oñatibia,0,0,0
