route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
42,D,42_4201_D_6300,,Berastegi,0,,shp_42_4201,0,0
21,D,21_2101_D_30600,,Hernialde,0,,shp_21_2101,0,0
3,S,3_306_S_70200,,Tolosa,1,,shp_3_306,0,0
7,LV,7_701_LV_28800,,Asteasu,0,,shp_7_701,0,0
3,LV,3_302_LV_57600,,Tolosa,1,,shp_3_302,0,0
23,LV,23_2302_LV_31800,,Aduna,1,,shp_23_2302,0,0
24,LV,24_2401_LV_48900,,Alegia,0,,shp_24_2401,0,0
24,D,24_2401_D_29700,,Alegia,0,,shp_24_2401,0,0
8,D,8_804_D_47100,,Larraul,1,,shp_8_804,0,0
25,LV,25_2502_LV_48600,,Alegia,1,,shp_25_2502,0,0
8,S,8_804_S_58200,,Larraul,1,,shp_8_804,0,0
4,S,4_406_S_48900,,Tolosa,1,,shp_4_406,0,0
4,D,4_402_D_56400,,Tolosa,1,,shp_4_402,0,0
24,D,24_2401_D_75000,,Alegia,0,,shp_24_2401,0,0
3,S,3_306_S_33300,,Tolosa,1,,shp_3_306,0,0
21,D,21_2102_D_57300,,Tolosa,1,,shp_21_2102,0,0
8,D,8_801_D_32400,,Aduna,0,,shp_8_801,0,0
3,S,3_301_S_68400,,Orexa,0,,shp_3_301,0,0
1,LV,1_101_LV_69000,,Abaltzisketa,0,,shp_1_101,0,0
41,D,41_4102_D_10500,,Tolosa,1,,shp_41_4102,0,0
8,LV,8_802_LV_55500,,Larraul,1,,shp_8_802,0,0
1,LV,1_101_LV_47400,,Abaltzisketa,0,,shp_1_101,0,0
7,D,7_702_D_35100,,Tolosa,1,,shp_7_702,0,0
20,D,20_2002_D_61500,,Tolosa,1,,shp_20_2002,0,0
5,S,5_502_S_69900,,Tolosa,1,,shp_5_502,0,0
8,S,8_804_S_47400,,Larraul,1,,shp_8_804,0,0
2,LV,2_201_LV_64800,,Berastegi,0,,shp_2_201,0,0
8,S,8_804_S_69000,,Larraul,1,,shp_8_804,0,0
25,S,25_2502_S_74700,,Alegia,1,,shp_25_2502,0,0
22,LV,22_2201_LV_39000,,Villabona,0,,shp_22_2201,0,0
2,LV,2_201_LV_47100,,Berastegi,0,,shp_2_201,0,0
23,LV,23_2301_LV_47700,,Andoain,0,,shp_23_2301,0,0
20,S,20_2001_S_34200,,Alkiza,0,,shp_20_2001,0,0
1,S,1_108_S_29700,,Tolosa,1,,shp_1_108,0,0
20,LV,20_2002_LV_66000,,Tolosa,1,,shp_20_2002,0,0
3,S,3_306_S_49500,,Tolosa,1,,shp_3_306,0,0
42,D,42_4202_D_2100,,Tolosa,1,,shp_42_4202,0,0
5,LV,5_502_LV_66900,,Tolosa,1,,shp_5_502,0,0
4,LV,4_401_LV_43200,,Gaztelu,0,,shp_4_401,0,0
27,LV,27_2702_LV_71700,,Villabona,1,,shp_27_2702,0,0
4,LV,4_408_LV_27000,,Tolosa(sta Lutzia),1,,shp_4_408,0,0
21,S,21_2102_S_67800,,Tolosa,1,,shp_21_2102,0,0
2,LV,2_203_LV_55800,,Berastegi,0,,shp_2_203,0,0
7,LV,7_701_LV_36600,,Asteasu,0,,shp_7_701,0,0
8,LV,8_803_LV_32400,,Aduna,0,,shp_8_803,0,0
8,D,8_804_D_65400,,Larraul,1,,shp_8_804,0,0
8,S,8_801_S_27600,,Aduna,0,,shp_8_801,0,0
21,D,21_2102_D_49500,,Tolosa,1,,shp_21_2102,0,0
20,S,20_2001_S_60300,,Alkiza,0,,shp_20_2001,0,0
8,LV,8_802_LV_68700,,Larraul,1,,shp_8_802,0,0
8,S,8_801_S_36000,,Aduna,0,,shp_8_801,0,0
3,LV,3_301_LV_25200,,Orexa,0,,shp_3_301,0,0
3,S,3_301_S_72900,,Orexa,0,,shp_3_301,0,0
2,D,2_202_D_36000,,Tolosa,1,,shp_2_202,0,0
7,S,7_701_S_70200,,Asteasu,0,,shp_7_701,0,0
29,S,29_2902_S_74100,,Izaskun,1,,shp_29_2902,0,0
4,S,4_406_S_73200,,Tolosa,1,,shp_4_406,0,0
3,S,3_302_S_48900,,Tolosa,1,,shp_3_302,0,0
8,S,8_801_S_69900,,Aduna,0,,shp_8_801,0,0
24,LV,24_2401_LV_67500,,Alegia,0,,shp_24_2401,0,0
25,D,25_2502_D_45300,,Alegia,1,,shp_25_2502,0,0
20,S,20_2001_S_43800,,Alkiza,0,,shp_20_2001,0,0
22,S,22_2202_S_72900,,Zizurkil,1,,shp_22_2202,0,0
27,S,27_2701_S_47400,,Alkiza,0,,shp_27_2701,0,0
8,S,8_802_S_34800,,Larraul,1,,shp_8_802,0,0
27,S,27_2701_S_57600,,Alkiza,0,,shp_27_2701,0,0
1,LV,1_108_LV_75600,,Tolosa,1,,shp_1_108,0,0
25,LV,25_2501_LV_48300,,Altzo,0,,shp_25_2501,0,0
2,LV,2_202_LV_58200,,Tolosa,1,,shp_2_202,0,0
1,LV,1_102_LV_52500,,Tolosa,1,,shp_1_102,0,0
5,S,5_502_S_35400,,Tolosa,1,,shp_5_502,0,0
27,S,27_2701_S_30600,,Alkiza,0,,shp_27_2701,0,0
24,S,24_2402_S_74400,,Abaltzisketa,1,,shp_24_2402,0,0
27,D,27_2702_D_71700,,Villabona,1,,shp_27_2702,0,0
3,LV,3_306_LV_54600,,Tolosa,1,,shp_3_306,0,0
1,LV,1_108_LV_54300,,Tolosa,1,,shp_1_108,0,0
1,S,1_108_S_67200,,Tolosa,1,,shp_1_108,0,0
20,D,20_2001_D_43800,,Alkiza,0,,shp_20_2001,0,0
26,LV,26_2601_LV_57300,,Alegia,0,,shp_26_2601,0,0
27,LV,27_2701_LV_27000,,Alkiza,0,,shp_27_2701,0,0
5,S,5_501_S_43800,,Bidania-goiatz,0,,shp_5_501,0,0
23,LV,23_2301_LV_27000,,Andoain,0,,shp_23_2301,0,0
1,S,1_108_S_38100,,Tolosa,1,,shp_1_108,0,0
4,LV,4_404_LV_26700,,Tolosa(sta Lutzia),1,,shp_4_404,0,0
3,D,3_306_D_31800,,Tolosa,1,,shp_3_306,0,0
8,S,8_804_S_65400,,Larraul,1,,shp_8_804,0,0
5,LV,5_502_LV_74700,,Tolosa,1,,shp_5_502,0,0
22,LV,22_2202_LV_38700,,Zizurkil,1,,shp_22_2202,0,0
4,LV,4_403_LV_52200,,Gaztelu,0,,shp_4_403,0,0
2,S,2_201_S_48000,,Berastegi,0,,shp_2_201,0,0
22,S,22_2201_S_29400,,Villabona,0,,shp_22_2201,0,0
8,LV,8_802_LV_39600,,Larraul,1,,shp_8_802,0,0
3,LV,3_306_LV_61800,,Tolosa,1,,shp_3_306,0,0
1,S,1_101_S_52500,,Abaltzisketa,0,,shp_1_101,0,0
29,D,29_2902_D_48900,,Izaskun,1,,shp_29_2902,0,0
3,LV,3_301_LV_22500,,Orexa,0,,shp_3_301,0,0
26,D,26_2602_D_60600,,Baliarrain,1,,shp_26_2602,0,0
5,D,5_501_D_43200,,Bidania-goiatz,0,,shp_5_501,0,0
4,S,4_401_S_46800,,Gaztelu,0,,shp_4_401,0,0
1,D,1_108_D_79800,,Tolosa,1,,shp_1_108,0,0
3,LV,3_306_LV_34200,,Tolosa,1,,shp_3_306,0,0
1,LV,1_101_LV_24000,,Abaltzisketa,0,,shp_1_101,0,0
7,LV,7_706_LV_80100,,Tolosa,1,,shp_7_706,0,0
22,D,22_2201_D_33600,,Villabona,0,,shp_22_2201,0,0
2,D,2_202_D_58800,,Tolosa,1,,shp_2_202,0,0
42,D,42_4202_D_7500,,Tolosa,1,,shp_42_4202,0,0
3,LV,3_301_LV_75600,,Orexa,0,,shp_3_301,0,0
3,LV,3_301_LV_67800,,Orexa,0,,shp_3_301,0,0
1,D,1_108_D_34200,,Tolosa,1,,shp_1_108,0,0
7,LV,7_707_LV_78000,,Larraul,0,,shp_7_707,0,0
25,LV,25_2502_LV_56700,,Alegia,1,,shp_25_2502,0,0
5,S,5_501_S_68400,,Bidania-goiatz,0,,shp_5_501,0,0
7,LV,7_703_LV_59400,,Asteasu,0,,shp_7_703,0,0
24,LV,24_2401_LV_25200,,Alegia,0,,shp_24_2401,0,0
27,D,27_2701_D_30600,,Alkiza,0,,shp_27_2701,0,0
5,LV,5_502_LV_46500,,Tolosa,1,,shp_5_502,0,0
28,S,28_2802_S_45000,,Amezketa(ugarte),1,,shp_28_2802,0,0
1,D,1_101_D_57600,,Abaltzisketa,0,,shp_1_101,0,0
41,D,41_4101_D_9000,,Abaltzisketa,0,,shp_41_4101,0,0
23,S,23_2302_S_26400,,Aduna,1,,shp_23_2302,0,0
4,LV,4_401_LV_25200,,Gaztelu,0,,shp_4_401,0,0
7,LV,7_702_LV_54000,,Tolosa,1,,shp_7_702,0,0
7,LV,7_702_LV_34800,,Tolosa,1,,shp_7_702,0,0
7,D,7_707_D_73800,,Larraul,0,,shp_7_707,0,0
21,S,21_2102_S_60300,,Tolosa,1,,shp_21_2102,0,0
2,LV,2_202_LV_71400,,Tolosa,1,,shp_2_202,0,0
7,D,7_706_D_80100,,Tolosa,1,,shp_7_706,0,0
6,LV,6_601_LV_48000,,Ibarra(apatta Erreka),0,,shp_6_601,0,0
1,LV,1_101_LV_36300,,Abaltzisketa,0,,shp_1_101,0,0
4,S,4_402_S_72600,,Tolosa,1,,shp_4_402,0,0
8,S,8_804_S_30900,,Larraul,1,,shp_8_804,0,0
1,D,1_108_D_28800,,Tolosa,1,,shp_1_108,0,0
47,D,47_4702_D_9000,,Tolosa,1,,shp_47_4702,0,0
29,LV,29_2901_LV_47700,,Ibarra,0,,shp_29_2901,0,0
