route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
5,25,5_502_25_76500,,Linea 5,1,,shp_5_502,0,0
23,4,23_231_4_55800,,Linea 23,0,,shp_23_231,0,0
5,23,5_501_23_37800,,Linea 5,0,,shp_5_501,0,0
5,22,5_501_22_55800,,Linea 5,0,,shp_5_501,0,0
5,1,5_502_1_54900,,Linea 5,1,,shp_5_502,0,0
24,19,24_241_19_56700,,Linea 24,0,,shp_24_241,0,0
5,2,5_502_2_36900,,Linea 5,1,,shp_5_502,0,0
24,18,24_242_18_36900,,Linea 24,0,,shp_24_242,0,0
5,1,5_501_1_61200,,Linea 5,0,,shp_5_501,0,0
24,21,24_243_21_74700,,Linea 24,0,,shp_24_243,0,0
24,21,24_242_21_44100,,Linea 24,0,,shp_24_242,0,0
24,21,24_242_21_36900,,Linea 24,0,,shp_24_242,0,0
5,19,5_502_19_62100,,Linea 5,1,,shp_5_502,0,0
24,20,24_242_20_62100,,Linea 24,0,,shp_24_242,0,0
5,19,5_502_19_54900,,Linea 5,1,,shp_5_502,0,0
24,8,24_241_8_38700,,Linea 24,0,,shp_24_241,0,0
5,22,5_502_22_51300,,Linea 5,1,,shp_5_502,0,0
5,25,5_501_25_72000,,Linea 5,0,,shp_5_501,0,0
3,5,3_301_5_46200,,Linea 3,0,,shp_3_301,0,0
5,22,5_502_22_67500,,Linea 5,1,,shp_5_502,0,0
5,19,5_501_19_63000,,Linea 5,0,,shp_5_501,0,0
5,2,5_501_2_43200,,Linea 5,0,,shp_5_501,0,0
5,23,5_502_23_49500,,Linea 5,1,,shp_5_502,0,0
3,3,3_302_3_57000,,Linea 3,0,,shp_3_302,0,0
5,20,5_501_20_36000,,Linea 5,0,,shp_5_501,0,0
5,2,5_501_2_59400,,Linea 5,0,,shp_5_501,0,0
5,2,5_502_2_44100,,Linea 5,1,,shp_5_502,0,0
5,25,5_501_25_64800,,Linea 5,0,,shp_5_501,0,0
5,18,5_502_18_72900,,Linea 5,1,,shp_5_502,0,0
5,1,5_502_1_62100,,Linea 5,1,,shp_5_502,0,0
24,20,24_242_20_54900,,Linea 24,0,,shp_24_242,0,0
5,1,5_501_1_50400,,Linea 5,0,,shp_5_501,0,0
24,21,24_242_21_33300,,Linea 24,0,,shp_24_242,0,0
24,8,24_242_8_65700,,Linea 24,0,,shp_24_242,0,0
24,20,24_242_20_51300,,Linea 24,0,,shp_24_242,0,0
5,19,5_501_19_50400,,Linea 5,0,,shp_5_501,0,0
24,18,24_243_18_74700,,Linea 24,0,,shp_24_243,0,0
5,2,5_501_2_48600,,Linea 5,0,,shp_5_501,0,0
23,22,23_231_22_63900,,Linea 23,0,,shp_23_231,0,0
2,1,2_202_1_31500,,Linea 2,0,,shp_2_202,0,0
5,2,5_502_2_49500,,Linea 5,1,,shp_5_502,0,0
3,5,3_301_5_33600,,Linea 3,0,,shp_3_301,0,0
5,1,5_501_1_66600,,Linea 5,0,,shp_5_501,0,0
23,23,23_231_23_53100,,Linea 23,0,,shp_23_231,0,0
24,19,24_243_19_67500,,Linea 24,0,,shp_24_243,0,0
1,1,1_101_1_48600,,Linea 1,0,,shp_1_101,0,0
4,7,4_401_7_76800,,Linea 4,0,,shp_4_401,0,0
5,19,5_502_19_51300,,Linea 5,1,,shp_5_502,0,0
5,1,5_502_1_67500,,Linea 5,1,,shp_5_502,0,0
5,25,5_501_25_61200,,Linea 5,0,,shp_5_501,0,0
24,8,24_243_8_35100,,Linea 24,0,,shp_24_243,0,0
5,20,5_501_20_39600,,Linea 5,0,,shp_5_501,0,0
24,19,24_241_19_45900,,Linea 24,0,,shp_24_241,0,0
23,6,23_231_6_69300,,Linea 23,0,,shp_23_231,0,0
23,22,23_231_22_74700,,Linea 23,0,,shp_23_231,0,0
23,22,23_231_22_45000,,Linea 23,0,,shp_23_231,0,0
5,25,5_502_25_71100,,Linea 5,1,,shp_5_502,0,0
5,25,5_502_25_60300,,Linea 5,1,,shp_5_502,0,0
24,18,24_242_18_44100,,Linea 24,0,,shp_24_242,0,0
24,18,24_242_18_33300,,Linea 24,0,,shp_24_242,0,0
3,3,3_302_3_44400,,Linea 3,0,,shp_3_302,0,0
5,2,5_501_2_54000,,Linea 5,0,,shp_5_501,0,0
5,1,5_501_1_64800,,Linea 5,0,,shp_5_501,0,0
5,25,5_501_25_75600,,Linea 5,0,,shp_5_501,0,0
3,3,3_301_3_71400,,Linea 3,0,,shp_3_301,0,0
5,19,5_501_19_52200,,Linea 5,0,,shp_5_501,0,0
24,21,24_243_21_63900,,Linea 24,0,,shp_24_243,0,0
24,20,24_242_20_65700,,Linea 24,0,,shp_24_242,0,0
5,2,5_502_2_47700,,Linea 5,1,,shp_5_502,0,0
5,19,5_501_19_68400,,Linea 5,0,,shp_5_501,0,0
5,21,5_501_21_70200,,Linea 5,0,,shp_5_501,0,0
5,22,5_502_22_56700,,Linea 5,1,,shp_5_502,0,0
23,6,23_231_6_58500,,Linea 23,0,,shp_23_231,0,0
3,5,3_301_5_35400,,Linea 3,0,,shp_3_301,0,0
5,25,5_502_25_65700,,Linea 5,1,,shp_5_502,0,0
5,22,5_501_22_50400,,Linea 5,0,,shp_5_501,0,0
24,18,24_242_18_47700,,Linea 24,0,,shp_24_242,0,0
4,7,4_402_7_49800,,Linea 4,0,,shp_4_402,0,0
23,23,23_231_23_42300,,Linea 23,0,,shp_23_231,0,0
1,1,1_103_1_28800,,Linea 1,0,,shp_1_103,0,0
5,22,5_502_22_40500,,Linea 5,1,,shp_5_502,0,0
23,23,23_231_23_69300,,Linea 23,0,,shp_23_231,0,0
5,23,5_502_23_36900,,Linea 5,1,,shp_5_502,0,0
5,21,5_502_21_72900,,Linea 5,1,,shp_5_502,0,0
5,19,5_502_19_67500,,Linea 5,1,,shp_5_502,0,0
5,1,5_502_1_51300,,Linea 5,1,,shp_5_502,0,0
4,7,4_402_7_46200,,Linea 4,0,,shp_4_402,0,0
24,18,24_241_18_76500,,Linea 24,0,,shp_24_241,0,0
5,22,5_502_22_62100,,Linea 5,1,,shp_5_502,0,0
5,22,5_501_22_66600,,Linea 5,0,,shp_5_501,0,0
1,1,1_103_1_34200,,Linea 1,0,,shp_1_103,0,0
5,23,5_501_23_59400,,Linea 5,0,,shp_5_501,0,0
5,22,5_501_22_41400,,Linea 5,0,,shp_5_501,0,0
2,1,2_201_1_72900,,Linea 2,0,,shp_2_201,0,0
5,1,5_502_1_60300,,Linea 5,1,,shp_5_502,0,0
5,22,5_502_22_65700,,Linea 5,1,,shp_5_502,0,0
5,19,5_501_19_55800,,Linea 5,0,,shp_5_501,0,0
2,1,2_202_1_44100,,Linea 2,0,,shp_2_202,0,0
23,4,23_231_4_50400,,Linea 23,0,,shp_23_231,0,0
5,22,5_502_22_53100,,Linea 5,1,,shp_5_502,0,0
