Urtea,LineaKod,LineaIzena,BidaiaKop
2024,,,17419.0
2024,13,Altza,1784837.0
2024,14,Bidebieta,586698.0
2024,16,Igeldo,232908.0
2024,17,Gros-Amara-Miramón,1081330.0
2024,18,Seminarioa,299204.0
2024,19,Aiete- Bera Bera,396654.0
2024,21,Mutualidades-Anoeta,197935.0
2024,23,Errondo-Puio,134183.0
2024,24,Altza-Gros-Antiguo,398738.0
2024,25,BentaBerri-Añorga,507445.0
2024,26,Amara-Martutene,850506.0
2024,27,Altza-Intxaurrondo-Antiguo,390996.0
2024,28,Amara-Ospitaleak,1727923.0
2024,29,Intxaurrondo Sur,419595.0
2024,31,Intxaurrondo-Ospitaleak-Altza,504504.0
2024,32,Puio-Errondo,131862.0
2024,33,Larratxo-Intxaur-Antiguo-Berio,849888.0
2024,35,Arriola-Antiguo-Aiete-Ospitale,125884.0
2024,36,SanRoque-Aldakonea,195641.0
2024,37,Rodil-Zorroaga,130696.0
2024,38,Trintxerpe-Altza-Molinao,56973.0
2024,40,Gros-Antiguo-Igara,217782.0
2024,41,Gros-Egia-Martutene,177418.0
2024,42,Aldapa - Egia,70293.0
2024,43,Anoeta-Igara,36209.0
2024,45,Estaciones Renfe-Bus Geltokiak- Antiguo-Aiete,271797.0
2024,46,Morlans,48258.0
2024,5,Benta Berri,1294032.0
2024,8,Gros-Intxaurrondo,354260.0
2024,9,Egia-Intxaurrondo,501673.0
2024,B1,BentaBerri-Berio-Añorga,12117.0
2024,B10,Zubiaurre-Bidebieta-Buenavista,8954.0
2024,B2,Aiete-Bera Bera,4189.0
2024,B3,Egia-Intxaurrondo,8325.0
2024,B4,Amara-Riberas-Martutene,12306.0
2024,B6,Altza,11729.0
2024,B7,Igeldo,63.0
2024,B8,Miraconcha-Benta Berri-Seminar,5854.0
2024,B9,Amara-Errondo-Puio,3906.0
2024,TB6,Ulía,6132.0
2023,,,6874.0
2023,13,Altza,2079295.0
2023,14,Bidebieta,698201.0
2023,16,Igeldo,211245.0
2023,17,Gros-Amara-Miramón,1286034.0
2023,18,Seminarioa,354840.0
2023,19,Aiete- Bera Bera,466412.0
2023,21,Mutualidades-Anoeta,277504.0
2023,23,Errondo-Puio,151550.0
2023,24,Altza-Gros-Antiguo,476540.0
2023,25,BentaBerri-Añorga,596641.0
2023,26,Amara-Martutene,1002815.0
2023,27,Altza-Intxaurrondo-Antiguo,457077.0
2023,28,Amara-Ospitaleak,2106284.0
2023,29,Intxaurrondo Sur,480302.0
2023,31,Intxaurrondo-Ospitaleak-Altza,561851.0
2023,32,Puio-Errondo,150872.0
2023,33,Larratxo-Intxaur-Antiguo-Berio,1001087.0
2023,35,Arriola-Antiguo-Aiete-Ospitale,138235.0
2023,36,SanRoque-Aldakonea,225438.0
2023,37,Rodil-Zorroaga,153543.0
2023,38,Trintxerpe-Altza-Molinao,62059.0
2023,39,Urgull,80.0
2023,40,Gros-Antiguo-Igara,254094.0
2023,41,Gros-Egia-Martutene,192033.0
2023,42,Aldapa - Egia,80570.0
2023,43,Anoeta-Igara,47411.0
