fecha|periodo|origen|destino|distancia|actividad_origen|actividad_destino|estudio_origen_posible|estudio_destino_posible|residencia|renta|edad|sexo|viajes|viajes_km
20250602|00|01001|01009_AM|2-10|casa|frecuente|no|no|01|>15|NA|NA|12.017|44.247
20250602|00|01001|01009_AM|2-10|casa|no_frecuente|no|no|01|>15|NA|NA|9.508|39.757
20250602|00|01001|01009_AM|2-10|frecuente|casa|no|no|01|>15|NA|NA|4.198|19.786
20250602|00|01001|01009_AM|2-10|trabajo_estudio|casa|no|no|01|>15|NA|NA|1.052|3.088
20250602|00|01001|01059|10-50|casa|frecuente|no|no|01|>15|NA|NA|10.563|133.162
20250602|00|01001|01059|10-50|casa|trabajo_estudio|no|no|01|>15|NA|NA|4.894|72.603
20250602|00|01001|01059|10-50|frecuente|casa|no|no|01|>15|0-25|mujer|3.281|39.859
20250602|00|01001|01059|10-50|frecuente|casa|no|no|01|>15|25-45|hombre|2.962|35.896
20250602|00|01001|01059|10-50|frecuente|casa|no|no|01|>15|25-45|mujer|3.146|42.330
20250602|00|01001|01059|10-50|no_frecuente|casa|no|no|01|>15|25-45|hombre|2.978|38.725
20250602|00|01001|01059|2-10|frecuente|trabajo_estudio|no|no|01|>15|NA|NA|2.026|17.258
20250602|00|01001|01059|2-10|no_frecuente|casa|no|no|01|>15|NA|NA|1.000|6.929
20250602|00|01002|01002|0.5-2|casa|frecuente|no|no|01|>15|NA|NA|15.765|14.574
20250602|00|01002|01002|0.5-2|casa|no_frecuente|no|no|01|>15|NA|NA|9.051|10.187
20250602|00|01002|01002|0.5-2|frecuente|casa|no|no|01|>15|NA|NA|15.532|19.775
20250602|00|01002|01002|0.5-2|frecuente|frecuente|no|no|48|>15|NA|NA|1.597|2.463
20250602|00|01002|01002|0.5-2|frecuente|no_frecuente|no|no|48|>15|45-65|mujer|3.388|5.993
20250602|00|01002|01002|0.5-2|no_frecuente|casa|no|no|01|>15|NA|NA|7.131|5.830
20250602|00|01002|01002|0.5-2|no_frecuente|no_frecuente|no|no|01|>15|NA|NA|2.658|4.296
20250602|00|01002|01002|10-50|casa|frecuente|no|no|01|>15|NA|NA|2.658|31.328
20250602|00|01002|01002|2-10|casa|frecuente|no|no|01|>15|NA|NA|16.463|60.244
20250602|00|01002|01002|2-10|casa|no_frecuente|no|no|01|>15|45-65|NA|3.367|20.300
20250602|00|01002|01002|2-10|casa|trabajo_estudio|no|no|01|>15|NA|NA|2.658|15.375
20250602|00|01002|01002|2-10|frecuente|casa|no|no|01|>15|NA|NA|19.210|75.325
